"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1843","test_login_with_invalid_email","tests","Wed May 28 22:19:26 BST 2025","passed","Wed May 28 22:19:27 BST 2025","TestLogin","test_login","",""
"","2977","test_login_with_valid_credentials","tests","Wed May 28 22:19:22 BST 2025","passed","Wed May 28 22:19:25 BST 2025","TestLogin","test_login","",""
"","12312","test_register_with_no_details","tests","Wed May 28 22:20:40 BST 2025","passed","Wed May 28 22:20:53 BST 2025","TestRegister","test_register","",""
"","1651","test_login_with_invalid_password","tests","Wed May 28 22:19:27 BST 2025","passed","Wed May 28 22:19:29 BST 2025","TestLogin","test_login","",""
"","700","test_search_for_a_valid_product","tests","Wed May 28 22:20:59 BST 2025","passed","Wed May 28 22:21:00 BST 2025","TestSearch","test_search","",""
"","12614","test_register_with_duplicate_email","tests","Wed May 28 22:20:28 BST 2025","passed","Wed May 28 22:20:40 BST 2025","TestRegister","test_register","",""
"","23311","test_register_with_all_fields","tests","Wed May 28 22:20:04 BST 2025","passed","Wed May 28 22:20:27 BST 2025","TestRegister","test_register","",""
"","25644","test_register_with_mandatory_fields","tests","Wed May 28 22:19:38 BST 2025","passed","Wed May 28 22:20:04 BST 2025","TestRegister","test_register","",""
"","560","test_search_for_an_invalid_product","tests","Wed May 28 22:21:00 BST 2025","passed","Wed May 28 22:21:00 BST 2025","TestSearch","test_search","",""
"","2232","test_login_with_no_credentials","tests","Wed May 28 22:19:29 BST 2025","passed","Wed May 28 22:19:31 BST 2025","TestLogin","test_login","",""
"","566","test_serch_without_any_product","tests","Wed May 28 22:21:00 BST 2025","passed","Wed May 28 22:21:01 BST 2025","TestSearch","test_search","",""
